layers,z_A,z_from_central_gap_A,planar_LVHAR_eV,macro_LVHAR_eV,planar_density_e_per_A3,lower_vacuum_eV,upper_vacuum_eV,macro_inside_slab
4,4.93988682075,-27.9819364771,5.97549430916,4.09544741625,1.42205053257e-06,5.97671163849,9.13988424293,0
4,5.00849635993,-27.913326938,5.97549376933,3.97177189208,1.60450783379e-06,5.97671163849,9.13988424293,0
4,5.07710589911,-27.8447173988,5.97539804881,3.84879483934,1.82000397628e-06,5.97671163849,9.13988424293,0
4,5.14571543828,-27.7761078596,5.97539573617,3.72764365942,2.07640209118e-06,5.97671163849,9.13988424293,0
4,5.21432497746,-27.7074983204,5.97529551263,3.60945670034,2.38569825677e-06,5.97671163849,9.13988424293,0
4,5.28293451664,-27.6388887813,5.97529063493,3.49535928839,2.76288553566e-06,5.97671163849,9.13988424293,0
4,5.35154405581,-27.5702792421,5.97518480636,3.38640778614,3.22376354938e-06,5.97671163849,9.13988424293,0
4,5.42015359499,-27.5016697029,5.97517619908,3.2835546124,3.78301929142e-06,5.97671163849,9.13988424293,0
4,5.48876313417,-27.4330601637,5.97506310311,3.1875894361,4.45421995282e-06,5.97671163849,9.13988424293,0
4,5.55737267335,-27.3644506246,5.97504893095,3.09909746389,5.25274530187e-06,5.97671163849,9.13988424293,0
4,5.62598221252,-27.2958410854,5.97492609696,3.01840580014,6.20090695712e-06,5.97671163849,9.13988424293,0
4,5.6945917517,-27.2272315462,5.97490368463,2.94555764348,7.33285009711e-06,5.97671163849,9.13988424293,0
4,5.76320129088,-27.158622007,5.97476773175,2.88029645543,8.69653827225e-06,5.97671163849,9.13988424293,0
4,5.83181083005,-27.0900124678,5.97473332397,2.82216738259,1.03516235493e-05,5.97671163849,9.13988424293,0
4,5.90042036923,-27.0214029287,5.97457944963,2.77105549754,1.23644596787e-05,5.97671163849,9.13988424293,0
4,5.96902990841,-26.9527933895,5.97452752636,2.72718018501,1.48039818045e-05,5.97671163849,9.13988424293,0
4,6.03763944759,-26.8841838503,5.97434863087,2.69047828638,1.77430322707e-05,5.97671163849,9.13988424293,0
4,6.10624898676,-26.8155743111,5.97427092161,2.66039266576,2.12677580906e-05,5.97671163849,9.13988424293,0
4,6.17485852594,-26.746964772,5.97405666879,2.63589447505,2.5493224669e-05,5.97671163849,9.13988424293,0
4,6.24346806512,-26.6783552328,5.97394123258,2.6157504567,3.05791853642e-05,5.97671163849,9.13988424293,0
4,6.31207760429,-26.6097456936,5.97367684355,2.59853121526,3.67388759015e-05,5.97671163849,9.13988424293,0
4,6.38068714347,-26.5411361544,5.97350638875,2.58276910388,4.42371159489e-05,5.97671163849,9.13988424293,0
4,6.44929668265,-26.4725266153,5.97317037325,2.56737782774,5.33808081064e-05,5.97671163849,9.13988424293,0
4,6.51790622182,-26.4039170761,5.97291927079,2.5518139813,6.4512252827e-05,5.97671163849,9.13988424293,0
4,6.586515761,-26.3353075369,5.97247974107,2.53558849012,7.80186806188e-05,5.97671163849,9.13988424293,0
4,6.65512530018,-26.2666979977,5.97210993005,2.51775170486,9.43662653099e-05,5.97671163849,9.13988424293,0
4,6.72373483936,-26.1980884585,5.9715199638,2.496996925,0.00011415462302,5.97671163849,9.13988424293,0
4,6.79234437853,-26.1294789194,5.97097544003,2.47194943703,0.000138175526509,5.97671163849,9.13988424293,0
4,6.86095391771,-26.0608693802,5.97016630378,2.44143904491,0.000167455568625,5.97671163849,9.13988424293,0
4,6.92956345689,-25.992259841,5.96936456696,2.40464872045,0.000203271470693,5.97671163849,9.13988424293,0
4,6.99817299606,-25.9236503018,5.96823452829,2.36118265199,0.0002471467375,5.97671163849,9.13988424293,0
4,7.06678253524,-25.8550407627,5.96705241252,2.31105119932,0.000300860669443,5.97671163849,9.13988424293,0
4,7.13539207442,-25.7864312235,5.96544931074,2.25462876646,0.000366511096541,5.97671163849,9.13988424293,0
4,7.2040016136,-25.7178216843,5.96370213936,2.19258228481,0.000446659150372,5.97671163849,9.13988424293,0
4,7.27261115277,-25.6492121451,5.96139854424,2.12580828733,0.000544549789947,5.97671163849,9.13988424293,0
4,7.34122069195,-25.5806026059,5.95881048632,2.05536576144,0.000664364253339,5.97671163849,9.13988424293,0
4,7.40983023113,-25.5119930668,5.95546706763,1.98242468947,0.000811445286543,5.97671163849,9.13988424293,0
4,7.4784397703,-25.4433835276,5.95162502392,1.90820649902,0.000992460417012,5.97671163849,9.13988424293,0
4,7.54704930948,-25.3747739884,5.94673173194,1.83393358621,0.00121553091188,5.97671163849,9.13988424293,0
4,7.61565884866,-25.3061644492,5.9410113382,1.76077456166,0.00149042822906,5.97671163849,9.13988424293,0
4,7.68426838784,-25.2375549101,5.93379528932,1.6898015264,0.00182898042749,5.97671163849,9.13988424293,0
4,7.75287792701,-25.1689453709,5.9252486841,1.62200992778,0.00224579867993,5.97671163849,9.13988424293,0
4,7.82148746619,-25.1003358317,5.91453726547,1.55830428193,0.00275932788807,5.97671163849,9.13988424293,0
4,7.89009700537,-25.0317262925,5.90172627665,1.4991792089,0.00339309698352,5.97671163849,9.13988424293,0
4,7.95870654454,-24.9631167534,5.88573952784,1.44457742503,0.00417697540594,5.97671163849,9.13988424293,0
4,8.02731608372,-24.8945072142,5.86647522397,1.39373872154,0.00514830162695,5.97671163849,9.13988424293,0
4,8.0959256229,-24.825897675,5.84249472725,1.34535357192,0.00635294987786,5.97671163849,9.13988424293,0
4,8.16453516208,-24.7572881358,5.81342218082,1.2977571815,0.00784666655,5.97671163849,9.13988424293,0
4,8.23314470125,-24.6886785966,5.77727189929,1.24900371463,0.00969717809894,5.97671163849,9.13988424293,0
4,8.30175424043,-24.6200690575,5.7332355235,1.19708407037,0.0119874764554,5.97671163849,9.13988424293,0
4,8.37036377961,-24.5514595183,5.6785019529,1.14024725843,0.0148202621961,5.97671163849,9.13988424293,0
4,8.43897331878,-24.4828499791,5.61160068135,1.07735472477,0.0183228948121,5.97671163849,9.13988424293,0
4,8.50758285796,-24.4142404399,5.52846065734,1.00805213806,0.0226516483433,5.97671163849,9.13988424293,0
4,8.57619239714,-24.3456309008,5.42662275439,0.932388733725,0.0279939210246,5.97671163849,9.13988424293,0
4,8.64480193632,-24.2770213616,5.30005460066,0.850616815858,0.0345674822043,5.97671163849,9.13988424293,0
