pilot,z_A,lvhar_potential_eV,mean_electron_density_e_per_A3
A0,5.652426421296297,3.3516723794219696,3.954574235181844e-06
A0,5.720527944444445,3.34049560126148,4.719757765529975e-06
A0,5.7886294675925924,3.3293092357366376,5.653388438740134e-06
A0,5.856730990740742,3.3181220209976403,6.802701705954518e-06
A0,5.924832513888889,3.3069270891950895,8.223041942409345e-06
A0,5.992934037037037,3.2957253820028045,9.973805987196486e-06
A0,6.061035560185185,3.2845172265177305,1.2117352901989194e-05
A0,6.129137083333334,3.2732948445776793,1.4724061925708053e-05
A0,6.1972386064814815,3.2620663698055483,1.7883963856674966e-05
A0,6.26534012962963,3.2508142116441965,2.1721488620263375e-05
A0,6.333441652777778,3.2395549185013066,2.640724745632978e-05
A0,6.4015431759259265,3.2282596923163895,3.216165663646597e-05
A0,6.469644699074075,3.2169539357725143,3.924996734742446e-05
A0,6.537746222222222,3.2055957281668994,4.797487043402289e-05
A0,6.605847745370371,3.1942196862285717,5.867768690047676e-05
A0,6.673949268518519,3.1827684528077174,7.175852812668798e-05
A0,6.742050791666667,3.1712861121352356,8.771823068683657e-05
A0,6.810152314814815,3.159696944147514,0.00010721332160731895
A0,6.878253837962963,3.1480544813133617,0.0001311067025789216
A0,6.946355361111112,3.136260491111862,0.00016049801776813578
A0,7.01445688425926,3.124377047627647,0.00019673088969562552
A0,7.082558407407408,3.112277447228987,0.00024139457597220802
A0,7.150659930555555,3.1000302844077177,0.00029635442391676793
A0,7.218761453703705,3.087472293066167,0.0003638465181906925
A0,7.286862976851852,3.0746752380989806,0.0004466511152257315
A0,7.3549645,3.061428239264955,0.0005483243516908709
A0,7.423066023148148,3.0478004096188775,0.0006734386668794235
A0,7.491167546296297,3.0335168211291133,0.0008277818405254805
A0,7.559269069444445,3.0186330928940683,0.0010185029238636788
A0,7.627370592592593,3.0027852821915517,0.001254259650285829
A0,7.695472115740741,2.9859975390012115,0.0015454835236717904
A0,7.763573638888889,2.9677804619517203,0.0019048937457682498
A0,7.831675162037038,2.9480992162653714,0.0023483335275104873
A0,7.899776685185185,2.9262859292730865,0.0028958878576137016
A0,7.9678782083333335,2.9022033517340566,0.0035731315411559263
A0,8.035979731481481,2.874923351026211,0.004412328946073504
A0,8.10408125462963,2.84413455741049,0.005453513469417954
A0,8.17218277777778,2.8085204113102358,0.006745598122676801
A0,8.240284300925927,2.767482461625414,0.008347906129738736
A0,8.308385824074074,2.7191217665957916,0.010332600333624917
A0,8.376487347222222,2.6623860769394456,0.012788294148773372
A0,8.44458887037037,2.5945028245351707,0.015824635082855136
A0,8.512690393518518,2.513722367251403,0.019577036401736036
A0,8.580791916666668,2.4159466166249044,0.024210294179690995
A0,8.648893439814815,2.2983780078871168,0.02991985274569567
A0,8.716994962962964,2.1548823237066834,0.03693006395707027
A0,8.785096486111112,1.9811941203648522,0.04548966566081002
A0,8.853198009259259,1.768026486892801,0.055865247434010536
A0,8.921299532407408,1.5094079472085935,0.06833292169095581
A0,8.989401055555556,1.191921048844318,0.08316643544658554
A0,9.057502578703705,0.8409092592122157,0.10061675733161815
A0,9.125604101851852,0.4210682683552263,0.12082106834324749
A0,9.193705625,-0.1726916299197802,0.14355154442422496
A0,9.261807148148149,-0.9905840907253712,0.16814239736972583
A0,9.329908671296296,-2.0345026873363974,0.19357056364232042
A0,9.398010194444446,-3.259661014338216,0.21859356109352224
A0,9.466111717592593,-4.604534292076158,0.24193262855730285
A0,9.534213240740742,-5.996890444434002,0.2624887281388247
A0,9.60231476388889,-7.372770302910648,0.27956629819690776
A0,9.670416287037037,-8.673093641104547,0.29305814711005196
A0,9.738517810185185,-9.856157955622592,0.30353436950040386
A0,9.806619333333334,-10.87020232508955,0.3121783080318437
A0,9.874720856481483,-11.666977492216459,0.32055484917956056
A0,9.942822379629629,-12.266826020384228,0.3302413836544983
A0,10.010923902777778,-12.704415835907351,0.3424073007812263
A0,10.079025425925927,-13.04961933497466,0.3575267576942566
A0,10.147126949074075,-13.336569537085762,0.37590864215604614
A0,10.215228472222224,-13.567889419523652,0.39825267824755783
A0,10.28332999537037,-13.763031503661031,0.42552717507500815
A0,10.351431518518519,-13.930185237094026,0.45877335927170043
A0,10.419533041666668,-14.080567382848571,0.49889829392176527
A0,10.487634564814815,-14.220691563372997,0.5464412892802357
A0,10.555736087962963,-14.364959800752612,0.6013052609036628
A0,10.623837611111112,-14.529877135587315,0.6624678756011791
A0,10.69193913425926,-14.739986259707099,0.7277363043924205
A0,10.760040657407409,-15.010815159560224,0.7936289222463653
A0,10.828142180555558,-15.341476050203033,0.8554827682802891
A0,10.896243703703703,-15.687247881053382,0.9078282653957044
A0,10.964345226851853,-15.958340714133715,0.9450261260078081
A0,11.03244675,-16.04049602089714,0.9620731293233359
A0,11.10054827314815,-15.927258112802894,0.9555212850826607
A0,11.168649796296295,-15.629154023300556,0.9242220141212274
A0,11.236751319444444,-15.135563542940966,0.8695787334887385
A0,11.304852842592593,-14.44899547441864,0.7953541282476285
A0,11.37295436574074,-13.575844082307288,0.70709582327269
A0,11.44105588888889,-12.532514795382252,0.6113167171366737
A0,11.509157412037037,-11.342455361334421,0.5146074126593775
A0,11.577258935185185,-10.038893275845455,0.42285009851175404
A0,11.645360458333334,-8.662992332263231,0.34064784996796044
A0,11.713461981481483,-7.263133015458355,0.2710066755393123
A0,11.781563504629629,-5.891071684188018,0.21526093912789643
A0,11.849665027777778,-4.596676266236779,0.17320058976111116
A0,11.917766550925926,-3.422900762062123,0.1433632376423743
A0,11.985868074074075,-2.4021323119451523,0.12346440511731677
A0,12.053969597222224,-1.5558769229330143,0.1109294499636993
A0,12.12207112037037,-0.8952324312670601,0.10346722046235812
A0,12.190172643518519,-0.43439267226800654,0.0995929759580332
A0,12.258274166666668,-0.1247794453052264,0.09878565799155353
A0,12.326375689814816,0.0881223456925473,0.10081403214156115
A0,12.394477212962963,0.23913252620984368,0.10547262580042814
A0,12.46257873611111,0.340617721629586,0.11263873013533125
A0,12.53068025925926,0.3494909648089734,0.12229064552971865
A0,12.598781782407409,0.2944864750795766,0.13448520600576833
A0,12.666883305555556,0.13709961983249683,0.14925814103601448
A0,12.734984828703704,-0.22064670275341028,0.16640025814176485
